atomic_number,energy,f1,f2
"48",54.7806,7.01556,12.9599
"48",55.6667,7.25391,13.1213
"48",56.567,7.496,13.2847
"48",57.482,7.74478,13.4501
"48",58.4117,8.00243,13.6176
"48",59.3564,8.27088,13.7872
"48",60.3165,8.55256,13.9589
"48",61.2921,8.85083,14.1327
"48",62.2834,9.17288,14.3087
"48",63.2908,9.53797,14.4869
"48",64.3145,9.95094,14.5893
"48",65.3547,10.317,14.648
"48",66.4118,10.6651,14.7069
"48",67.4859,11.0074,14.766
"48",68.5775,11.3503,14.8254
"48",69.6867,11.7005,14.885
"48",70.8138,12.063,14.9281
"48",71.9591,12.4157,14.9596
"48",73.123,12.7672,14.9911
"48",74.3057,13.1222,15.0227
"48",75.5076,13.4842,15.0544
"48",76.7289,13.858,15.0861
"48",77.9699,14.2558,15.1179
"48",79.231,14.6616,15.1063
"48",80.5125,15.0612,15.0932
"48",81.8147,15.4642,15.0801
"48",83.138,15.8791,15.0671
"48",84.4827,16.3126,15.054
"48",85.8491,16.7804,15.041
"48",87.2377,17.3388,14.9809
"48",88.6487,17.851,14.8342
"48",90.0825,18.3398,14.689
"48",91.5395,18.8475,14.5451
"48",93.0201,19.4316,14.4027
"48",94.5246,20.0338,14.0815
"48",96.0535,20.5494,13.7289
"48",97.6071,21.0436,13.3852
"48",99.1858,21.5688,13.0501
"48",100.79,22.2626,12.6636
"48",102.42,22.7938,11.8623
"48",104.077,23.1195,11.1116
"48",105.76,23.3209,10.4085
"48",107.471,23.453,9.74983
"48",109.209,23.5384,9.13287
"48",110.975,23.6002,8.55495
"48",112.77,23.6927,8.01359
"48",114.594,23.7887,7.33221
"48",116.448,23.7072,6.62555
"48",118.331,23.5298,5.98701
"48",120.245,23.2935,5.40999
"48",122.19,23.0109,4.88859
"48",124.166,22.6816,4.41745
"48",126.175,22.2585,4.05148
"48",128.215,21.929,3.82757
"48",130.289,21.6526,3.61604
"48",132.397,21.4053,3.4162
"48",134.538,21.1833,3.22739
"48",136.714,21.0226,3.04903
"48",138.925,20.8329,2.74069
"48",141.172,20.5504,2.45221
"48",143.456,20.1828,2.22983
"48",145.776,19.8503,2.09547
"48",148.134,19.5098,1.97671
"48",150.53,19.1967,1.93078
"48",152.964,18.9087,1.88592
"48",155.439,18.6126,1.85429
"48",157.953,18.3385,1.85193
"48",160.507,18.0729,1.84957
"48",163.103,17.7711,1.8725
"48",165.742,17.5124,1.96692
"48",168.422,17.2849,2.07018
"48",171.146,17.0891,2.1871
"48",173.915,16.921,2.31063
"48",176.727,16.791,2.44113
"48",179.586,16.6867,2.53742
"48",182.491,16.575,2.62155
"48",185.442,16.4641,2.70847
"48",188.442,16.3579,2.79827
"48",191.489,16.2576,2.89105
"48",194.587,16.1642,2.98691
"48",197.734,16.0787,3.08594
"48",200.932,16.003,3.18826
"48",204.182,15.9445,3.29397
"48",207.485,15.8913,3.37628
"48",210.84,15.8354,3.45963
"48",214.251,15.7794,3.54503
"48",217.716,15.7269,3.63255
"48",221.237,15.679,3.72222
"48",224.816,15.6375,3.8141
"48",228.452,15.6054,3.90825
"48",232.147,15.5936,4.00473
"48",235.902,15.5913,4.06298
"48",239.717,15.5744,4.11172
"48",243.595,15.5467,4.16105
"48",247.535,15.5156,4.21097
"48",251.538,15.4826,4.26148
"48",255.607,15.4491,4.3126
"48",259.741,15.4169,4.36434
"48",263.942,15.3884,4.4167
"48",268.211,15.3902,4.45524
"48",272.549,15.3677,4.45725
"48",276.957,15.3205,4.45925
"48",281.437,15.2616,4.46126
"48",285.989,15.192,4.46327
"48",290.615,15.1123,4.46528
"48",295.315,15.0227,4.46729
"48",300.092,14.9234,4.46931
"48",304.945,14.8146,4.47132
"48",309.878,14.699,4.47314
"48",314.89,14.5684,4.46266
"48",319.983,14.4194,4.45221
"48",325.158,14.2517,4.44178
"48",330.418,14.0649,4.43137
"48",335.762,13.857,4.42099
"48",341.192,13.6247,4.41063
"48",346.711,13.365,4.4044
"48",352.319,13.0786,4.40091
"48",358.017,12.7606,4.39743
"48",363.808,12.4025,4.39396
"48",369.692,11.993,4.39048
"48",375.672,11.498,4.39609
"48",381.748,10.9667,4.47478
"48",387.922,10.3913,4.55488
"48",394.197,9.74172,4.63641
"48",400.573,8.98721,4.7194
"48",405.1,8.68686,4.77842
"48",405.3,8.62236,4.32288
"48",407.052,7.79045,4.52168
"48",413.635,6.36909,5.34514
"48",420.326,5.18791,6.31858
"48",427.124,4.09315,7.46926
"48",434.032,3.05345,8.82954
"48",441.052,2.10524,10.4375
"48",448.186,1.27547,12.3383
"48",455.435,0.664412,14.57
"48",462.802,0.351553,17.1909
"48",470.287,0.60195,20.2831
"48",477.894,2.21338,23.6835
"48",485.623,4.9157,26.0154
"48",493.478,7.88153,26.9206
"48",501.459,10.146,27.0075
"48",509.57,11.8344,27.0947
"48",517.812,13.4846,27.1821
"48",526.187,14.934,26.8391
"48",534.698,16.0908,26.4624
"48",543.346,17.0042,26.091
"48",552.134,17.7134,25.7248
"48",561.065,18.1179,25.5428
"48",570.139,18.6004,25.6342
"48",579.361,19.2047,25.7259
"48",588.732,19.8241,25.8179
"48",598.254,20.456,25.9103
"48",607.93,21.1062,26.0029
"48",617.763,21.7794,26.0606
"48",627.755,22.4329,26.0875
"48",637.908,23.0654,26.1144
"48",648.226,23.694,26.1413
"48",658.711,24.3233,26.1683
"48",669.365,24.9584,26.1952
"48",680.191,25.6242,26.2222
"48",691.193,26.3133,26.2
"48",702.372,26.9713,26.1349
"48",713.733,27.6117,26.07
"48",725.277,28.2499,26.0052
"48",737.008,28.8935,25.9406
"48",748.928,29.5995,25.8762
"48",761.042,30.2999,25.7016
"48",773.351,30.9503,25.5118
"48",785.859,31.5858,25.3234
"48",798.57,32.2274,25.1364
"48",811.486,32.9195,24.9507
"48",824.611,33.6579,24.6144
"48",837.949,34.2929,24.1751
"48",851.502,34.8168,23.7519
"48",865.274,35.2937,23.3468
"48",879.269,35.7447,22.9583
"48",893.491,36.1738,22.5762
"48",907.943,36.5842,22.2003
